PERMNO,DATE,n,RET,b_mkt,alpha,ivol,tvol,R2,exret
20125,1/7/2005,246,-9.46%,2.4636,0.0038,11.45%,13.43%,27.31%,-3.01%
20125,1/14/2005,247,-6.77%,2.4635,0.0036,11.44%,13.41%,27.27%,-6.81%
20125,1/21/2005,248,-3.31%,2.4637,0.0035,11.42%,13.39%,27.29%,-0.06%
20125,1/28/2005,249,-0.13%,2.4636,0.0035,11.39%,13.36%,27.29%,-0.78%
20204,1/7/2005,246,-6.00%,0.9354,0.0025,3.66%,4.52%,34.71%,-3.58%
20204,1/14/2005,247,0.26%,0.9354,0.0025,3.65%,4.52%,34.71%,0.22%
20204,1/21/2005,248,-2.61%,0.9364,0.0025,3.64%,4.51%,34.76%,-1.40%
20204,1/28/2005,249,5.29%,0.9371,0.0027,3.65%,4.51%,34.64%,5.02%
20220,1/7/2005,246,-6.50%,0.9214,0.0049,4.28%,5.02%,27.35%,-4.12%
20220,1/14/2005,247,2.17%,0.9215,0.005,4.27%,5.01%,27.34%,2.13%
20220,1/21/2005,248,-1.69%,0.9221,0.0049,4.26%,5.00%,27.38%,-0.50%
20220,1/28/2005,249,-2.46%,0.9216,0.0048,4.26%,5.00%,27.31%,-2.73%
20248,1/7/2005,246,-2.13%,0.4618,-0.0007,4.92%,5.09%,6.67%,-0.96%
20248,1/14/2005,247,-0.08%,0.4618,-0.0007,4.91%,5.08%,6.67%,-0.12%
20248,1/21/2005,248,0.83%,0.4608,-0.0007,4.90%,5.07%,6.65%,1.41%
20248,1/28/2005,249,8.21%,0.462,-0.0003,4.92%,5.09%,6.61%,8.06%
20299,1/7/2005,246,0.00%,0.0288,0,4.23%,4.23%,0.04%,0.04%
20299,1/14/2005,247,-2.41%,0.0288,-0.0001,4.23%,4.23%,0.04%,-2.45%
20299,1/21/2005,248,0.95%,0.0281,0,4.22%,4.22%,0.04%,0.96%
20299,1/28/2005,249,0.19%,0.0282,0,4.21%,4.21%,0.04%,0.14%
20336,1/7/2005,246,-9.33%,0.774,0.0017,7.25%,7.57%,8.48%,-7.35%
20336,1/14/2005,247,-3.70%,0.774,0.0015,7.24%,7.56%,8.47%,-3.75%
20336,1/21/2005,248,-2.44%,0.775,0.0015,7.22%,7.55%,8.50%,-1.44%
20336,1/28/2005,249,8.59%,0.7762,0.0018,7.23%,7.55%,8.48%,8.36%
20395,1/7/2005,246,-6.29%,0.4771,0.0054,3.15%,3.43%,15.72%,-5.09%
20395,1/14/2005,247,0.49%,0.4771,0.0054,3.14%,3.42%,15.72%,0.45%
20395,1/21/2005,248,-4.05%,0.4796,0.0052,3.14%,3.43%,15.79%,-3.44%
20395,1/28/2005,249,-0.52%,0.4795,0.0052,3.14%,3.42%,15.77%,-0.68%
20415,1/7/2005,246,-7.60%,0.5003,0.005,3.43%,3.71%,14.76%,-6.34%
20415,1/14/2005,247,0.79%,0.5003,0.005,3.42%,3.70%,14.76%,0.75%
20415,1/21/2005,248,-3.36%,0.5024,0.0048,3.42%,3.70%,14.83%,-2.73%
20415,1/28/2005,249,-7.58%,0.5011,0.0045,3.45%,3.73%,14.49%,-7.74%
20482,1/7/2005,246,1.82%,0.3266,0.0027,4.06%,4.17%,4.99%,2.65%
20482,1/14/2005,247,-2.09%,0.3266,0.0026,4.06%,4.16%,4.98%,-2.13%
20482,1/21/2005,248,-0.58%,0.3269,0.0026,4.05%,4.15%,4.99%,-0.18%
20482,1/28/2005,249,-1.54%,0.3266,0.0025,4.04%,4.15%,4.98%,-1.66%
20504,1/7/2005,246,-4.94%,0.9538,0.013,10.52%,10.86%,6.26%,-2.47%
20504,1/14/2005,247,-6.19%,0.9536,0.0127,10.51%,10.85%,6.25%,-6.23%
20504,1/21/2005,248,-8.84%,0.9594,0.0124,10.50%,10.85%,6.31%,-7.60%
20504,1/28/2005,249,0.41%,0.9592,0.0123,10.48%,10.83%,6.30%,0.13%
20512,1/7/2005,246,-9.42%,0.5012,0.0077,6.11%,6.27%,5.18%,-8.17%
20512,1/14/2005,247,-3.76%,0.5011,0.0075,6.10%,6.27%,5.17%,-3.80%
20512,1/21/2005,248,-0.15%,0.5013,0.0075,6.09%,6.26%,5.18%,0.49%
20512,1/28/2005,249,-10.79%,0.4995,0.007,6.12%,6.29%,5.07%,-10.96%
20539,1/7/2005,246,-1.78%,0.1425,0.0023,3.11%,3.13%,1.68%,-1.45%
20539,1/14/2005,247,-0.68%,0.1425,0.0023,3.10%,3.13%,1.68%,-0.72%
20539,1/21/2005,248,-1.47%,0.1435,0.0022,3.09%,3.12%,1.70%,-1.31%
20539,1/28/2005,249,0.44%,0.1435,0.0022,3.09%,3.12%,1.70%,0.37%
20571,1/7/2005,246,5.16%,0.6581,0.0037,5.58%,5.88%,10.16%,6.88%
20571,1/14/2005,247,2.82%,0.6582,0.0038,5.57%,5.87%,10.16%,2.78%
20571,1/21/2005,248,2.96%,0.6559,0.0039,5.56%,5.86%,10.09%,3.81%
20571,1/28/2005,249,-5.89%,0.655,0.0037,5.56%,5.86%,10.02%,-6.10%
20598,1/7/2005,246,-9.10%,0.0991,0.0096,8.23%,8.23%,0.12%,-8.91%
20598,1/14/2005,247,4.73%,0.0992,0.0098,8.21%,8.22%,0.12%,4.69%
20598,1/21/2005,248,2.35%,0.0983,0.0098,8.20%,8.20%,0.12%,2.45%
20598,1/28/2005,249,1.87%,0.0984,0.0099,8.18%,8.19%,0.12%,1.80%
20618,1/7/2005,246,-8.31%,0.967,0.0059,5.87%,6.48%,18.07%,-5.82%
20618,1/14/2005,247,1.68%,0.967,0.0059,5.86%,6.47%,18.07%,1.64%
20618,1/21/2005,248,0.22%,0.9664,0.006,5.84%,6.46%,18.06%,1.48%
20618,1/28/2005,249,7.76%,0.9674,0.0062,5.85%,6.46%,18.01%,7.48%
20626,1/7/2005,246,-3.07%,0.866,0.0031,4.16%,4.84%,26.04%,-0.83%
20626,1/14/2005,247,3.75%,0.8661,0.0032,4.16%,4.83%,25.99%,3.71%
20626,1/21/2005,248,-1.95%,0.8668,0.0032,4.15%,4.82%,26.04%,-0.82%
20626,1/28/2005,249,0.74%,0.8668,0.0032,4.14%,4.81%,26.04%,0.48%
20670,1/7/2005,237,-8.28%,1.9378,0.003,11.99%,13.15%,16.90%,-3.21%
20670,1/14/2005,238,3.29%,1.938,0.0031,11.96%,13.12%,16.90%,3.25%
20670,1/21/2005,239,-5.19%,1.94,0.003,11.94%,13.10%,16.94%,-2.64%
20670,1/28/2005,240,-2.86%,1.9393,0.0029,11.92%,13.07%,16.92%,-3.38%
20694,1/7/2005,246,-3.44%,0.6931,0.0042,4.50%,4.91%,16.16%,-1.66%
20694,1/14/2005,247,-2.75%,0.693,0.004,4.49%,4.91%,16.13%,-2.79%
20694,1/21/2005,248,-0.33%,0.6929,0.004,4.48%,4.90%,16.14%,0.56%
20694,1/28/2005,249,-0.08%,0.6928,0.004,4.48%,4.89%,16.13%,-0.29%
20750,1/7/2005,246,-8.34%,0.4411,0.0018,3.33%,3.56%,12.46%,-7.24%
20750,1/14/2005,247,1.13%,0.4411,0.0019,3.33%,3.55%,12.45%,1.09%
20750,1/21/2005,248,-0.57%,0.4413,0.0019,3.32%,3.55%,12.47%,-0.02%
20750,1/28/2005,249,-5.76%,0.4404,0.0016,3.34%,3.56%,12.28%,-5.91%
20765,1/7/2005,246,-5.76%,0.7013,0.005,5.57%,5.91%,11.42%,-3.97%
20765,1/14/2005,247,3.66%,0.7014,0.0051,5.56%,5.91%,11.41%,3.62%
20765,1/21/2005,248,-0.77%,0.7016,0.0051,5.55%,5.89%,11.42%,0.13%
20765,1/28/2005,249,1.33%,0.7017,0.0051,5.54%,5.88%,11.42%,1.12%
21020,1/7/2005,246,-19.18%,2.0837,0.0054,13.65%,14.89%,15.91%,-13.77%
21020,1/14/2005,247,-1.69%,2.0836,0.0053,13.62%,14.86%,15.91%,-1.74%
21020,1/21/2005,248,-4.14%,2.0849,0.0053,13.60%,14.83%,15.93%,-1.39%
21020,1/28/2005,249,2.52%,2.0851,0.0053,13.57%,14.80%,15.93%,1.96%
21055,1/7/2005,246,-7.10%,1.0768,0.0074,6.42%,7.12%,18.59%,-4.31%
21055,1/14/2005,247,1.97%,1.0768,0.0075,6.41%,7.10%,18.59%,1.93%
21055,1/21/2005,248,-3.12%,1.0784,0.0074,6.40%,7.09%,18.64%,-1.71%
21055,1/28/2005,249,-1.33%,1.0781,0.0073,6.39%,7.08%,18.62%,-1.64%
21135,1/7/2005,246,-8.15%,0.6072,0.0016,3.94%,4.30%,16.19%,-6.61%
21135,1/14/2005,247,-3.80%,0.6071,0.0014,3.94%,4.30%,16.13%,-3.84%
21135,1/21/2005,248,-0.54%,0.6071,0.0014,3.93%,4.29%,16.14%,0.24%
21135,1/28/2005,249,-4.22%,0.6064,0.0012,3.93%,4.29%,16.04%,-4.41%
21152,1/7/2005,246,-3.11%,0.7157,0.0021,4.22%,4.68%,18.97%,-1.27%
21152,1/14/2005,247,1.37%,0.7157,0.0021,4.21%,4.67%,18.96%,1.33%
21152,1/21/2005,248,-4.37%,0.7181,0.002,4.21%,4.67%,19.03%,-3.45%
21152,1/28/2005,249,1.61%,0.7183,0.002,4.20%,4.67%,19.03%,1.39%
21178,1/7/2005,246,-1.40%,0.2197,0.0053,3.99%,4.04%,2.40%,-0.87%
21178,1/14/2005,247,2.25%,0.2198,0.0054,3.98%,4.03%,2.40%,2.21%
21178,1/21/2005,248,-2.23%,0.2214,0.0053,3.98%,4.03%,2.43%,-1.97%
21178,1/28/2005,249,2.98%,0.2217,0.0054,3.97%,4.02%,2.44%,2.88%
21186,1/7/2005,246,-3.75%,0.8748,0.0023,4.11%,4.80%,26.94%,-1.48%
21186,1/14/2005,247,0.89%,0.8748,0.0024,4.10%,4.79%,26.93%,0.85%
21186,1/21/2005,248,-9.51%,0.8804,0.002,4.13%,4.82%,26.85%,-8.38%
21186,1/28/2005,249,-3.96%,0.8797,0.0018,4.13%,4.82%,26.73%,-4.22%
21207,1/7/2005,246,-6.55%,-0.062,0.0032,5.43%,5.44%,0.11%,-6.78%
21207,1/14/2005,247,0.89%,-0.062,0.0032,5.42%,5.43%,0.11%,0.85%
21207,1/21/2005,248,1.50%,-0.0627,0.0032,5.41%,5.41%,0.11%,1.39%
21207,1/28/2005,249,-1.18%,-0.0629,0.0032,5.40%,5.40%,0.11%,-1.20%
21231,1/7/2005,246,-4.97%,0.3827,0.0016,2.38%,2.62%,17.29%,-4.01%
21231,1/14/2005,247,3.07%,0.3828,0.0018,2.39%,2.62%,17.21%,3.03%
21231,1/21/2005,248,0.23%,0.3824,0.0018,2.38%,2.62%,17.20%,0.71%
21231,1/28/2005,249,-0.43%,0.3823,0.0017,2.38%,2.61%,17.18%,-0.57%
21259,1/7/2005,246,-1.55%,0.1565,0.0016,3.30%,3.33%,1.80%,-1.19%
21259,1/14/2005,247,-0.41%,0.1565,0.0015,3.29%,3.32%,1.80%,-0.45%
21259,1/21/2005,248,-0.99%,0.1571,0.0015,3.28%,3.31%,1.81%,-0.81%
21259,1/28/2005,249,0.11%,0.1571,0.0015,3.28%,3.31%,1.81%,0.03%
21371,1/7/2005,246,-3.49%,0.5585,0.0037,4.81%,5.07%,9.85%,-2.07%
21371,1/14/2005,247,-3.01%,0.5584,0.0035,4.81%,5.06%,9.83%,-3.05%
21371,1/21/2005,248,-0.20%,0.5583,0.0035,4.80%,5.05%,9.84%,0.51%
21371,1/28/2005,249,2.26%,0.5586,0.0036,4.79%,5.05%,9.84%,2.09%
21573,1/7/2005,246,-1.69%,0.724,0.0014,4.01%,4.51%,20.93%,0.18%
21573,1/14/2005,247,-0.90%,0.7239,0.0013,4.00%,4.50%,20.92%,-0.94%
21573,1/21/2005,248,-4.45%,0.7263,0.0012,4.00%,4.50%,20.99%,-3.51%
21573,1/28/2005,249,0.77%,0.7264,0.0012,3.99%,4.49%,20.99%,0.55%
21726,1/7/2005,246,-7.99%,0.2689,0.0075,5.42%,5.47%,1.96%,-7.34%
21726,1/14/2005,247,1.20%,0.269,0.0075,5.41%,5.46%,1.96%,1.16%
21726,1/21/2005,248,-1.61%,0.2703,0.0074,5.40%,5.45%,1.98%,-1.29%
21726,1/28/2005,249,-1.37%,0.2699,0.0073,5.39%,5.45%,1.97%,-1.47%
21742,1/7/2005,246,-5.51%,0.6047,0.0038,4.37%,4.70%,13.45%,-3.97%
21742,1/14/2005,247,0.58%,0.6047,0.0038,4.36%,4.69%,13.45%,0.54%
21742,1/21/2005,248,-0.93%,0.6051,0.0038,4.35%,4.68%,13.47%,-0.15%
21742,1/28/2005,249,0.82%,0.6051,0.0038,4.35%,4.67%,13.47%,0.63%
21776,1/7/2005,246,-4.63%,0.1722,0.0039,3.41%,3.45%,2.03%,-4.23%
21776,1/14/2005,247,2.38%,0.1722,0.0039,3.41%,3.44%,2.03%,2.34%
21776,1/21/2005,248,-1.60%,0.1734,0.0039,3.40%,3.44%,2.05%,-1.41%
21776,1/28/2005,249,4.16%,0.1739,0.004,3.40%,3.44%,2.06%,4.07%
21785,1/7/2005,144,-1.66%,0.6912,0.0102,9.15%,9.34%,3.92%,0.12%
21785,1/14/2005,145,13.69%,0.6893,0.0111,9.18%,9.36%,3.85%,13.65%
21785,1/21/2005,146,2.81%,0.6855,0.0112,9.15%,9.33%,3.81%,3.70%
21785,1/28/2005,147,2.43%,0.6856,0.0113,9.12%,9.30%,3.81%,2.22%
21792,1/7/2005,246,-5.31%,0.2742,0.0016,7.44%,7.48%,1.09%,-4.64%
21792,1/14/2005,247,1.87%,0.2742,0.0017,7.42%,7.47%,1.09%,1.83%
21792,1/21/2005,248,0.83%,0.2736,0.0017,7.41%,7.45%,1.09%,1.16%
21792,1/28/2005,249,1.00%,0.2737,0.0017,7.39%,7.44%,1.09%,0.89%
21928,1/7/2005,246,-3.86%,0.5318,0.0013,3.74%,4.03%,14.11%,-2.51%
21928,1/14/2005,247,2.01%,0.5319,0.0013,3.73%,4.03%,14.10%,1.97%
21928,1/21/2005,248,-0.60%,0.5319,0.0013,3.73%,4.02%,14.12%,0.08%
21928,1/28/2005,249,-0.20%,0.5318,0.0013,3.72%,4.01%,14.11%,-0.37%
21936,1/7/2005,246,-2.19%,0.53,-0.0003,3.64%,3.94%,14.66%,-0.84%
21936,1/14/2005,247,-3.99%,0.5299,-0.0004,3.65%,3.94%,14.60%,-4.03%
21936,1/21/2005,248,-3.05%,0.5314,-0.0005,3.64%,3.94%,14.66%,-2.37%
21936,1/28/2005,249,-0.53%,0.5313,-0.0006,3.63%,3.93%,14.65%,-0.70%
21960,1/7/2005,246,-8.03%,0.703,0.0019,4.63%,5.04%,15.79%,-6.23%
21960,1/14/2005,247,-4.36%,0.7029,0.0017,4.63%,5.04%,15.74%,-4.40%
21960,1/21/2005,248,-0.92%,0.703,0.0017,4.62%,5.03%,15.75%,-0.01%
21960,1/28/2005,249,-0.85%,0.7028,0.0017,4.61%,5.02%,15.74%,-1.07%
21979,1/7/2005,246,-4.82%,0.9288,0.0047,4.82%,5.50%,23.14%,-2.41%
21979,1/14/2005,247,4.18%,0.9289,0.0049,4.82%,5.50%,23.10%,4.14%
21979,1/21/2005,248,-1.44%,0.9294,0.0049,4.81%,5.49%,23.13%,-0.23%
21979,1/28/2005,249,1.30%,0.9294,0.0049,4.80%,5.48%,23.13%,1.03%
22032,1/7/2005,246,-5.14%,0.6304,0.0054,3.59%,4.02%,20.01%,-3.53%
22032,1/14/2005,247,-2.60%,0.6303,0.0052,3.59%,4.01%,19.95%,-2.64%
22032,1/21/2005,248,2.58%,0.6284,0.0053,3.59%,4.01%,19.83%,3.39%
22032,1/28/2005,249,-0.63%,0.6282,0.0053,3.58%,4.00%,19.81%,-0.82%
22103,1/7/2005,246,-4.24%,0.6745,0.0023,3.42%,3.93%,23.95%,-2.51%
22103,1/14/2005,247,1.01%,0.6745,0.0023,3.42%,3.92%,23.95%,0.97%
22103,1/21/2005,248,-3.86%,0.6766,0.0022,3.42%,3.92%,24.01%,-3.00%
22103,1/28/2005,249,0.32%,0.6766,0.0021,3.41%,3.91%,24.01%,0.12%
22111,1/7/2005,246,-1.28%,0.3339,0.0025,3.48%,3.61%,6.95%,-0.44%
22111,1/14/2005,247,0.14%,0.3339,0.0025,3.47%,3.60%,6.95%,0.10%
22111,1/21/2005,248,-1.36%,0.3346,0.0025,3.47%,3.60%,6.98%,-0.94%
22111,1/28/2005,249,4.48%,0.3352,0.0026,3.47%,3.60%,6.97%,4.36%
22198,1/7/2005,246,-7.36%,0.5911,0.0009,7.28%,7.47%,5.08%,-5.86%
22198,1/14/2005,247,-0.42%,0.5911,0.0009,7.27%,7.46%,5.08%,-0.46%
22198,1/21/2005,248,4.83%,0.5875,0.0011,7.26%,7.45%,5.02%,5.59%
22198,1/28/2005,249,4.81%,0.5882,0.0013,7.25%,7.44%,5.02%,4.63%
22250,1/7/2005,246,4.25%,0.6815,0.0071,8.85%,9.06%,4.59%,6.02%
22250,1/14/2005,247,2.10%,0.6816,0.0072,8.84%,9.05%,4.59%,2.06%
22250,1/21/2005,248,-3.99%,0.684,0.007,8.82%,9.03%,4.62%,-3.11%
22250,1/28/2005,249,10.08%,0.6854,0.0074,8.82%,9.03%,4.62%,9.87%
22293,1/7/2005,246,0.93%,2.1796,-0.0001,9.46%,11.32%,30.11%,6.67%
22293,1/14/2005,247,-0.93%,2.1796,-0.0001,9.44%,11.30%,30.11%,-0.97%
22293,1/21/2005,248,-2.12%,2.1791,-0.0001,9.42%,11.27%,30.12%,0.75%
22293,1/28/2005,249,-6.77%,2.178,-0.0004,9.42%,11.26%,30.04%,-7.35%
22374,1/7/2005,246,-7.85%,0.7633,0.014,8.77%,9.04%,5.79%,-5.90%
22374,1/14/2005,247,-11.17%,0.763,0.0135,8.79%,9.06%,5.74%,-11.21%
22374,1/21/2005,248,-3.52%,0.7655,0.0133,8.78%,9.04%,5.78%,-2.54%
22374,1/28/2005,249,9.16%,0.7666,0.0136,8.77%,9.04%,5.78%,8.93%
22437,1/7/2005,246,-2.11%,0.4056,0.0032,2.74%,2.97%,15.11%,-1.08%
22437,1/14/2005,247,-0.24%,0.4056,0.0032,2.73%,2.97%,15.11%,-0.28%
22437,1/21/2005,248,-0.28%,0.4056,0.0032,2.73%,2.96%,15.12%,0.23%
22437,1/28/2005,249,0.86%,0.4057,0.0032,2.72%,2.96%,15.12%,0.72%
22509,1/7/2005,246,-3.11%,0.7907,0.0023,3.47%,4.14%,29.66%,-1.07%
22509,1/14/2005,247,0.12%,0.7907,0.0023,3.46%,4.13%,29.66%,0.08%
22509,1/21/2005,248,1.15%,0.7894,0.0024,3.46%,4.12%,29.58%,2.17%
22509,1/28/2005,249,1.48%,0.7896,0.0025,3.45%,4.11%,29.58%,1.25%
22517,1/7/2005,246,-4.02%,0.4135,0.005,4.23%,4.39%,7.20%,-2.98%
22517,1/14/2005,247,3.75%,0.4135,0.0051,4.23%,4.39%,7.18%,3.71%
22517,1/21/2005,248,-1.07%,0.4142,0.0051,4.22%,4.38%,7.21%,-0.55%
22517,1/28/2005,249,2.11%,0.4144,0.0051,4.21%,4.37%,7.21%,1.97%
22518,1/7/2005,246,-8.18%,0.5632,0.0115,11.24%,11.35%,2.00%,-6.76%
22518,1/14/2005,247,-1.98%,0.5631,0.0114,11.22%,11.33%,2.00%,-2.02%
22518,1/21/2005,248,9.09%,0.5575,0.0117,11.21%,11.32%,1.95%,9.81%
22518,1/28/2005,249,-0.56%,0.5572,0.0117,11.19%,11.30%,1.95%,-0.73%
22569,1/7/2005,246,0.49%,0.3239,0.0023,3.94%,4.05%,5.19%,1.31%
22569,1/14/2005,247,-0.21%,0.3239,0.0023,3.94%,4.04%,5.19%,-0.25%
22569,1/21/2005,248,0.42%,0.3235,0.0023,3.93%,4.03%,5.18%,0.82%
22569,1/28/2005,249,0.07%,0.3235,0.0023,3.92%,4.03%,5.18%,-0.05%
22592,1/7/2005,246,0.28%,0.6187,0.0033,3.07%,3.54%,24.81%,1.88%
22592,1/14/2005,247,2.03%,0.6187,0.0034,3.07%,3.53%,24.79%,1.99%
22592,1/21/2005,248,-3.22%,0.6205,0.0033,3.06%,3.53%,24.85%,-2.42%
22592,1/28/2005,249,2.44%,0.6208,0.0034,3.06%,3.53%,24.84%,2.24%
22680,1/7/2005,246,-7.37%,1.1839,-0.0016,8.79%,9.42%,12.84%,-4.30%
22680,1/14/2005,247,-1.91%,1.1838,-0.0016,8.77%,9.40%,12.83%,-1.95%
22680,1/21/2005,248,-3.57%,1.1851,-0.0017,8.76%,9.38%,12.86%,-2.02%
22680,1/28/2005,249,-1.35%,1.1848,-0.0018,8.74%,9.36%,12.86%,-1.68%
22752,1/7/2005,246,-3.14%,0.3236,-0.0014,4.38%,4.48%,4.24%,-2.34%
22752,1/14/2005,247,-0.84%,0.3236,-0.0014,4.37%,4.47%,4.24%,-0.88%
22752,1/21/2005,248,-1.65%,0.3243,-0.0015,4.37%,4.46%,4.26%,-1.25%
22752,1/28/2005,249,-7.71%,0.3231,-0.0018,4.38%,4.48%,4.18%,-7.83%
22753,1/7/2005,246,-14.51%,1.0811,0.0038,6.74%,7.41%,17.29%,-11.74%
22753,1/14/2005,247,0.37%,1.0811,0.0038,6.72%,7.39%,17.29%,0.33%
22753,1/21/2005,248,1.24%,1.0797,0.0039,6.71%,7.38%,17.26%,2.66%
22753,1/28/2005,249,-0.74%,1.0794,0.0038,6.70%,7.36%,17.25%,-1.04%
22779,1/7/2005,246,-2.97%,1.5568,-0.0002,6.92%,8.22%,29.11%,1.11%
22779,1/14/2005,247,2.04%,1.5568,-0.0001,6.91%,8.21%,29.11%,2.00%
22779,1/21/2005,248,-8.22%,1.5608,-0.0003,6.91%,8.21%,29.16%,-6.17%
22779,1/28/2005,249,-0.83%,1.5606,-0.0004,6.89%,8.19%,29.16%,-1.26%
22825,1/7/2005,246,-6.63%,0.8166,0.012,7.36%,7.72%,9.08%,-4.53%
22825,1/14/2005,247,-3.84%,0.8164,0.0118,7.36%,7.71%,9.06%,-3.88%
22825,1/21/2005,248,-1.25%,0.8173,0.0118,7.34%,7.70%,9.08%,-0.19%
22825,1/28/2005,249,6.01%,0.818,0.0119,7.33%,7.69%,9.09%,5.77%
22840,1/7/2005,246,-1.33%,0.2722,0.0025,3.73%,3.81%,4.14%,-0.65%
22840,1/14/2005,247,0.13%,0.2722,0.0025,3.72%,3.80%,4.14%,0.09%
22840,1/21/2005,248,3.65%,0.2698,0.0026,3.72%,3.80%,4.06%,3.98%
22840,1/28/2005,249,-5.74%,0.2689,0.0024,3.74%,3.81%,3.99%,-5.85%
22859,1/7/2005,246,-2.23%,0.496,0.0021,4.02%,4.27%,10.98%,-0.96%
22859,1/14/2005,247,2.24%,0.496,0.0022,4.02%,4.26%,10.97%,2.20%
22859,1/21/2005,248,-0.20%,0.4959,0.0022,4.01%,4.25%,10.98%,0.43%
22859,1/28/2005,249,1.48%,0.4961,0.0022,4.00%,4.24%,10.98%,1.32%
22905,1/7/2005,246,1.30%,0.258,0.0074,7.56%,7.59%,0.94%,1.94%
22905,1/14/2005,247,0.36%,0.258,0.0074,7.54%,7.58%,0.94%,0.32%
22905,1/21/2005,248,0.77%,0.2578,0.0074,7.52%,7.56%,0.94%,1.09%
22905,1/28/2005,249,6.16%,0.2585,0.0076,7.52%,7.55%,0.94%,6.06%
22913,1/7/2005,246,-3.29%,0.5144,0.0013,8.12%,8.25%,3.15%,-1.98%
22913,1/14/2005,247,3.66%,0.5145,0.0014,8.11%,8.24%,3.15%,3.62%
22913,1/21/2005,248,-3.16%,0.5162,0.0013,8.09%,8.23%,3.17%,-2.50%
22913,1/28/2005,249,0.39%,0.5162,0.0013,8.08%,8.21%,3.17%,0.22%
22921,1/7/2005,246,-10.42%,0.6706,0.0035,6.52%,6.80%,7.90%,-8.72%
22921,1/14/2005,247,-3.28%,0.6706,0.0034,6.52%,6.79%,7.89%,-3.32%
22921,1/21/2005,248,0.26%,0.6701,0.0034,6.50%,6.77%,7.89%,1.12%
22921,1/28/2005,249,-2.30%,0.6696,0.0033,6.49%,6.76%,7.87%,-2.50%
22947,1/7/2005,246,-3.65%,0.3044,0.0036,3.37%,3.48%,6.22%,-2.90%
22947,1/14/2005,247,1.02%,0.3045,0.0036,3.36%,3.47%,6.22%,0.98%
22947,1/21/2005,248,-1.06%,0.3051,0.0035,3.36%,3.47%,6.25%,-0.69%
22947,1/28/2005,249,1.72%,0.3053,0.0036,3.35%,3.46%,6.25%,1.61%
23026,1/7/2005,246,-2.56%,0.1704,0.0036,3.41%,3.45%,1.98%,-2.16%
23026,1/14/2005,247,1.61%,0.1704,0.0037,3.41%,3.44%,1.98%,1.57%
23026,1/21/2005,248,-0.97%,0.1712,0.0036,3.40%,3.44%,2.00%,-0.78%
23026,1/28/2005,249,1.70%,0.1714,0.0037,3.40%,3.43%,2.00%,1.62%
23042,1/7/2005,246,-4.76%,0.4029,0.0017,3.09%,3.30%,12.12%,-3.75%
23042,1/14/2005,247,1.25%,0.4029,0.0017,3.09%,3.29%,12.12%,1.21%
23042,1/21/2005,248,1.28%,0.4019,0.0018,3.08%,3.29%,12.06%,1.79%
23042,1/28/2005,249,1.67%,0.4021,0.0019,3.08%,3.28%,12.06%,1.53%
23077,1/7/2005,246,-2.39%,0.0159,0.0017,3.03%,3.03%,0.02%,-2.39%
23077,1/14/2005,247,-1.02%,0.0159,0.0016,3.03%,3.03%,0.02%,-1.06%
23077,1/21/2005,248,0.08%,0.0159,0.0016,3.02%,3.02%,0.02%,0.07%
23077,1/28/2005,249,-0.45%,0.0158,0.0016,3.01%,3.01%,0.02%,-0.49%
23085,1/7/2005,246,-2.51%,0.3802,0.0025,2.89%,3.09%,12.30%,-1.56%
23085,1/14/2005,247,0.57%,0.3802,0.0025,2.89%,3.08%,12.30%,0.53%
23085,1/21/2005,248,-0.26%,0.3802,0.0025,2.88%,3.08%,12.31%,0.22%
23085,1/28/2005,249,0.23%,0.3802,0.0025,2.87%,3.07%,12.31%,0.10%
23114,1/7/2005,246,-1.84%,0.2757,0.0027,3.32%,3.41%,5.30%,-1.15%
23114,1/14/2005,247,0.52%,0.2757,0.0028,3.32%,3.41%,5.30%,0.48%
23114,1/21/2005,248,-1.32%,0.2765,0.0027,3.31%,3.40%,5.33%,-0.98%
23114,1/28/2005,249,0.58%,0.2765,0.0027,3.30%,3.39%,5.33%,0.47%
23182,1/7/2005,246,0.37%,0.0921,0.0025,2.38%,2.39%,1.20%,0.58%
23182,1/14/2005,247,-0.04%,0.092,0.0025,2.38%,2.39%,1.20%,-0.08%
23182,1/21/2005,248,0.00%,0.0921,0.0025,2.37%,2.39%,1.20%,0.09%
23182,1/28/2005,249,-2.95%,0.0917,0.0024,2.38%,2.39%,1.18%,-3.01%
23229,1/7/2005,246,-4.11%,0.7585,0.0005,6.56%,6.91%,9.80%,-2.16%
23229,1/14/2005,247,-1.60%,0.7585,0.0004,6.55%,6.89%,9.79%,-1.64%
23229,1/21/2005,248,1.12%,0.7571,0.0005,6.53%,6.88%,9.77%,2.10%
23229,1/28/2005,249,3.81%,0.7577,0.0007,6.53%,6.87%,9.77%,3.59%
23297,1/7/2005,246,-1.68%,0.6275,0.0041,4.32%,4.67%,14.65%,-0.07%
23297,1/14/2005,247,-0.23%,0.6275,0.0041,4.31%,4.66%,14.65%,-0.27%
23297,1/21/2005,248,1.63%,0.6262,0.0042,4.30%,4.65%,14.60%,2.43%
23297,1/28/2005,249,7.47%,0.6272,0.0044,4.31%,4.67%,14.51%,7.27%
23309,1/7/2005,246,-1.01%,1.1193,0.0062,4.54%,5.55%,33.07%,1.91%
23309,1/14/2005,247,2.75%,1.1193,0.0062,4.53%,5.54%,33.05%,2.71%
