PERMNO,DATE,n,RET,b_mkt,alpha,ivol,tvol,R2,exret
10089,1/14/2005,247,-23.53%,1.1063,-0.002,11.97%,12.38%,6.46%,-23.57%
10089,1/21/2005,248,-1.54%,1.1062,-0.002,11.95%,12.35%,6.46%,-0.09%
10089,1/28/2005,249,-1.56%,1.106,-0.0021,11.92%,12.33%,6.46%,-1.87%
10092,1/7/2005,246,-12.08%,1.5605,0.0025,7.67%,8.86%,25.18%,-8.03%
10092,1/14/2005,247,4.06%,1.5606,0.0026,7.65%,8.85%,25.16%,4.02%
10092,1/21/2005,248,-2.76%,1.5612,0.0026,7.64%,8.83%,25.19%,-0.70%
10092,1/28/2005,249,-1.71%,1.5609,0.0025,7.62%,8.81%,25.18%,-2.14%
10100,1/7/2005,246,-2.11%,0.3106,0.0036,9.03%,9.07%,0.95%,-1.34%
10100,1/14/2005,247,-10.39%,0.3103,0.0032,9.04%,9.08%,0.94%,-10.43%
10100,1/21/2005,248,-2.12%,0.3117,0.0031,9.02%,9.06%,0.95%,-1.73%
10100,1/28/2005,249,1.72%,0.3118,0.0032,9.00%,9.05%,0.95%,1.60%
10104,1/7/2005,246,-2.84%,1.703,0.0002,6.50%,8.12%,35.76%,1.62%
10104,1/14/2005,247,2.25%,1.703,0.0003,6.49%,8.10%,35.75%,2.21%
10104,1/21/2005,248,-2.35%,1.7031,0.0003,6.48%,8.09%,35.77%,-0.11%
10104,1/28/2005,249,2.78%,1.7035,0.0004,6.47%,8.07%,35.77%,2.32%
10107,1/7/2005,246,-0.19%,1.0603,-0.0006,4.24%,5.21%,33.66%,2.58%
10107,1/14/2005,247,-2.06%,1.0603,-0.0007,4.23%,5.20%,33.64%,-2.10%
10107,1/21/2005,248,-1.80%,1.0605,-0.0007,4.23%,5.19%,33.67%,-0.42%
10107,1/28/2005,249,2.07%,1.0608,-0.0006,4.22%,5.18%,33.66%,1.77%
10108,1/7/2005,246,-3.35%,0.9333,0.0036,4.89%,5.57%,22.81%,-0.93%
10108,1/14/2005,247,-1.53%,0.9332,0.0035,4.88%,5.56%,22.80%,-1.57%
10108,1/21/2005,248,-1.04%,0.9334,0.0035,4.87%,5.55%,22.82%,0.18%
10108,1/28/2005,249,-0.30%,0.9332,0.0035,4.86%,5.54%,22.81%,-0.57%
10119,1/7/2005,246,0.07%,0.598,0.0002,4.46%,4.77%,12.73%,1.62%
10119,1/14/2005,247,-1.47%,0.5979,0.0001,4.45%,4.77%,12.73%,-1.51%
10119,1/21/2005,248,-0.07%,0.5975,0.0001,4.44%,4.76%,12.72%,0.69%
10119,1/28/2005,249,0.82%,0.5976,0.0002,4.43%,4.75%,12.72%,0.63%
10137,1/7/2005,246,-4.46%,0.5942,0.0023,8.29%,8.46%,4.00%,-2.95%
10137,1/14/2005,247,-0.27%,0.5942,0.0022,8.27%,8.45%,4.00%,-0.31%
10137,1/21/2005,248,-0.11%,0.5939,0.0023,8.26%,8.43%,4.00%,0.65%
10137,1/28/2005,249,2.08%,0.5941,0.0023,8.24%,8.41%,4.01%,1.89%
10138,1/7/2005,246,-3.84%,1.4973,0.0044,3.43%,5.47%,60.80%,0.07%
10138,1/14/2005,247,-1.10%,1.4973,0.0044,3.42%,5.46%,60.78%,-1.14%
10138,1/21/2005,248,-2.13%,1.4977,0.0044,3.41%,5.45%,60.81%,-0.16%
10138,1/28/2005,249,1.50%,1.4978,0.0044,3.41%,5.44%,60.81%,1.09%
10143,1/7/2005,246,-6.69%,1.6286,0.0123,11.80%,12.68%,13.39%,-2.45%
10143,1/14/2005,247,-2.43%,1.6286,0.0122,11.78%,12.66%,13.38%,-2.48%
10143,1/21/2005,248,-2.67%,1.6297,0.0121,11.76%,12.64%,13.41%,-0.53%
10143,1/28/2005,249,-4.15%,1.6289,0.0119,11.74%,12.61%,13.39%,-4.59%
10145,1/7/2005,246,-3.39%,1.1503,0.0012,5.11%,6.07%,29.11%,-0.39%
10145,1/14/2005,247,3.30%,1.1504,0.0014,5.11%,6.07%,29.08%,3.26%
10145,1/21/2005,248,-0.99%,1.1501,0.0014,5.10%,6.05%,29.09%,0.51%
10145,1/28/2005,249,2.00%,1.1504,0.0015,5.09%,6.04%,29.09%,1.68%
10147,1/7/2005,246,-6.86%,2.0268,-0.0011,7.46%,9.43%,37.49%,-1.55%
10147,1/14/2005,247,-0.72%,2.0268,-0.0011,7.44%,9.41%,37.49%,-0.76%
10147,1/21/2005,248,-4.80%,2.0281,-0.0012,7.43%,9.40%,37.53%,-2.13%
10147,1/28/2005,249,-0.92%,2.0279,-0.0012,7.41%,9.38%,37.52%,-1.46%
10163,1/7/2005,246,-10.62%,0.8388,0.0032,6.73%,7.15%,11.19%,-8.47%
10163,1/14/2005,247,1.78%,0.8388,0.0033,6.72%,7.13%,11.19%,1.74%
10163,1/21/2005,248,1.03%,0.8376,0.0034,6.71%,7.12%,11.17%,2.12%
10163,1/28/2005,249,-1.77%,0.8373,0.0033,6.70%,7.10%,11.15%,-2.02%
10180,1/21/2005,126,-1.60%,0.8683,-0.0018,13.02%,13.33%,4.60%,
10180,1/28/2005,127,-0.27%,0.8682,-0.0018,12.96%,13.27%,4.60%,-0.52%
10182,1/7/2005,246,-8.48%,1.218,0.0046,5.24%,6.29%,30.48%,-5.32%
10182,1/14/2005,247,3.01%,1.2181,0.0047,5.23%,6.28%,30.46%,2.97%
10182,1/21/2005,248,-0.37%,1.2176,0.0047,5.22%,6.26%,30.46%,1.22%
10182,1/28/2005,249,-3.82%,1.2169,0.0045,5.22%,6.26%,30.37%,-4.16%
